"パッケージ名","バージョン（2026/05/29時点のCRANの最新）","Depends","Imports","LinkingTo","再帰依存（直接依存を除く）"
"tern","0.9.10","rtables","broom, car, checkmate, cowplot, dplyr, emmeans, forcats, formatters, ggplot2, grid, gridExtra, gtable, labeling, lifecycle, magrittr, MASS, methods, nestcolor, Rdpack, rlang, scales, stats, survival, tibble, tidyr, utils","","abind, backports, base64enc, boot, carData, cli, colorspace, cpp11, Deriv, digest, doBy, estimability, farver, fastmap, forecast, Formula, fracdiff, generics, glue, graphics, grDevices, htmltools, isoband, lattice, lme4, lmtest, Matrix, MatrixModels, mgcv, microbenchmark, minqa, modelr, mvtnorm, nlme, nloptr, nnet, numDeriv, parallel, pbkrtest, pillar, pkgconfig, purrr, quantreg, R6, rbibutils, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, reformulas, S7, SparseM, splines, stringi, stringr, tidyselect, timeDate, tools, urca, utf8, vctrs, viridisLite, withr, zoo"
"tern.mmrm","0.3.3","tern","checkmate, cowplot, dplyr, emmeans, formatters, generics, ggplot2, lifecycle, magrittr, mmrm, parallelly, rlang, rtables, stats, tidyr","","abind, backports, base64enc, boot, brio, broom, callr, car, carData, cli, colorspace, cpp11, crayon, Deriv, desc, diffobj, digest, doBy, estimability, evaluate, farver, fastmap, forcats, forecast, Formula, fracdiff, fs, glue, graphics, grDevices, grid, gridExtra, gtable, htmltools, isoband, jsonlite, labeling, lattice, lme4, lmtest, MASS, Matrix, MatrixModels, methods, mgcv, microbenchmark, minqa, modelr, mvtnorm, nestcolor, nlme, nloptr, nnet, numDeriv, parallel, pbkrtest, pillar, pkgbuild, pkgconfig, pkgload, praise, processx, ps, purrr, quantreg, R6, rbibutils, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, Rdpack, reformulas, rprojroot, S7, scales, SparseM, splines, stringi, stringr, survival, testthat, tibble, tidyselect, timeDate, TMB, tools, urca, utf8, utils, vctrs, viridisLite, waldo, withr, zoo"
"tern.rbmi","(CRANに存在しません)","rbmi, tern","broom, checkmate, formatters, lifecycle, magrittr, rtables","","abind, assertthat, backports, base64enc, boot, brio, callr, car, carData, cli, colorspace, cowplot, cpp11, crayon, Deriv, desc, diffobj, digest, doBy, dplyr, emmeans, estimability, evaluate, farver, fastmap, forcats, forecast, Formula, fracdiff, fs, generics, ggplot2, glue, graphics, grDevices, grid, gridExtra, gtable, htmltools, isoband, jinjar, jsonlite, labeling, lattice, lme4, lmtest, MASS, Matrix, MatrixModels, methods, mgcv, microbenchmark, minqa, mmrm, modelr, mvtnorm, nestcolor, nlme, nloptr, nnet, numDeriv, parallel, pbkrtest, pillar, pkgbuild, pkgconfig, pkgload, praise, processx, ps, purrr, quantreg, R6, rbibutils, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, Rdpack, reformulas, rlang, rprojroot, S7, scales, SparseM, splines, stats, stringi, stringr, survival, testthat, tibble, tidyr, tidyselect, timeDate, TMB, tools, tseries, urca, utf8, utils, vctrs, viridisLite, waldo, withr, zoo"
"testthat","3.3.2","","brio, callr, cli, desc, evaluate, jsonlite, lifecycle, magrittr, methods, pkgload, praise, processx, ps, R6, rlang, utils, waldo, withr","","crayon, diffobj, fs, glue, graphics, grDevices, pkgbuild, rprojroot, stats, tools"
"tibble","3.3.1","","cli, lifecycle, magrittr, methods, pillar, pkgconfig, rlang, utils, vctrs","","glue, utf8"
"tidyr","1.3.2","","cli, dplyr, glue, lifecycle, magrittr, purrr, rlang, stringr, tibble, tidyselect, utils, vctrs","cpp11","generics, graphics, grDevices, methods, pillar, pkgconfig, R6, stats, stringi, tools, utf8, withr"
"tidyverse","2.0.0","","broom, cli, conflicted, dbplyr, dplyr, dtplyr, forcats, ggplot2, googledrive, googlesheets4, haven, hms, httr, jsonlite, lubridate, magrittr, modelr, pillar, purrr, ragg, readr, readxl, reprex, rlang, rstudioapi, rvest, stringr, tibble, tidyr, xml2","","askpass, backports, base64enc, bit, bit64, blob, bslib, cachem, callr, cellranger, clipr, cpp11, crayon, curl, data.table, DBI, digest, evaluate, farver, fastmap, fontawesome, fs, gargle, generics, glue, graphics, grDevices, grid, gtable, highr, htmltools, ids, isoband, jquerylib, knitr, labeling, lifecycle, memoise, methods, mime, openssl, pkgconfig, prettyunits, processx, progress, ps, R6, rappdirs, RColorBrewer, rematch, rematch2, rmarkdown, S7, sass, scales, selectr, stats, stringi, sys, systemfonts, textshaping, tidyselect, timechange, tinytex, tools, tzdb, utf8, utils, uuid, vctrs, viridisLite, vroom, withr, xfun, yaml"
"units","1.0-1","","Rcpp","Rcpp","methods, utils"
"xportr","0.5.0","","checkmate, cli, dplyr, glue, haven, lifecycle, magrittr, purrr, readr, rlang, stringr, tidyselect","","backports, bit, bit64, clipr, cpp11, crayon, forcats, generics, graphics, grDevices, hms, methods, pillar, pkgconfig, prettyunits, progress, R6, stats, stringi, tibble, tools, tzdb, utf8, utils, vctrs, vroom, withr"
"yaml","2.3.12","","","",""
"optparse","1.8.2","","methods","",""
"admiralroche","(CRANに存在しません)","","admiral, admiraldev, arrow, cli, DBI, dplyr, googledrive, jsonlite, lifecycle, lubridate, magrittr, metacore, metatools, odbc, purrr, readr, readxl, rlang, stringr, tibble, tidyr, tidyselect, writexl, yaml","","askpass, assertthat, bit, bit64, blob, brew, callr, cellranger, clipr, commonmark, cpp11, crayon, curl, desc, evaluate, fs, gargle, generics, glue, graphics, grDevices, highr, hms, httr, knitr, methods, mime, openssl, pillar, pkgbuild, pkgconfig, pkgload, prettyunits, processx, progress, ps, R6, rappdirs, Rcpp, rematch, roxygen2, rprojroot, stats, stringi, sys, timechange, tools, tzdb, utf8, utils, uuid, vctrs, vroom, withr, xfun, xml2"
"admiralrochetools","(CRANに存在しません)","","admiral, admiraldev, admiralroche, cli, dplyr, jsonlite, magrittr, purrr, R6, rlang, scriptr, stringr, tibble, usethis, yaml","","arrow, askpass, assertthat, base64enc, bit, bit64, blob, brew, brio, bslib, cachem, callr, cellranger, clipr, commonmark, cpp11, crayon, curl, DBI, desc, diffobj, digest, evaluate, fastmap, fontawesome, fs, gargle, generics, gert, gh, glue, googledrive, graphics, grDevices, highr, hms, htmltools, htmlwidgets, httr, jquerylib, knitr, lifecycle, lubridate, memoise, metacore, metatools, methods, mime, odbc, openssl, pillar, pkgbuild, pkgconfig, pkgload, praise, prettyunits, processx, progress, ps, R.cache, rappdirs, Rcpp, reactable, reactR, readr, readxl, rematch, rmarkdown, roxygen2, rprojroot, rstudioapi, sass, stats, stringi, styler, sys, testthat, tidyr, tidyselect, timechange, tinytex, tools, tzdb, utf8, utils, uuid, vctrs, vroom, waldo, whisker, withr, writexl, xfun, xml2"
"aleye","(CRANに存在しません)","","DBI, dplyr, glue, janitor, magrittr, rlang, RocheData, stringr, utils","","askpass, bit, bit64, blob, cachem, cli, config, cpp11, curl, digest, fastmap, generics, graphics, grDevices, hms, httr2, jsonlite, lifecycle, lubridate, memoise, methods, openssl, pillar, pkgconfig, plogr, purrr, R6, rappdirs, remotes, RPostgres, snakecase, stats, stringi, sys, tibble, tidyr, tidyselect, timechange, tools, utf8, vctrs, withr, xml2, yaml"
"autoslideR","(CRANに存在しません)","autoslider.core","admiral, admiralonco, assertthat, checkmate, cli, dplyr, flextable, forcats, formatters, ggplot2, gridExtra, lubridate, methods, officer, rlang, rlistings, rtables, stringr, survival, tern, tibble, tidyr, yaml","","abind, admiraldev, askpass, backports, base64enc, boot, brew, broom, bslib, cachem, callr, car, carData, colorspace, commonmark, cowplot, cpp11, data.table, Deriv, desc, digest, doBy, emmeans, estimability, evaluate, farver, fastmap, fontawesome, fontBitstreamVera, fontLiberation, fontquiver, forecast, Formula, fracdiff, fs, gdtools, generics, glue, graphics, grDevices, grid, gtable, highr, hms, htmltools, isoband, jquerylib, jsonlite, knitr, labeling, lattice, lifecycle, lme4, lmtest, magrittr, MASS, Matrix, MatrixModels, memoise, mgcv, microbenchmark, mime, minqa, modelr, mvtnorm, nestcolor, nlme, nloptr, nnet, numDeriv, openssl, parallel, pbkrtest, pillar, pkgbuild, pkgconfig, pkgload, processx, ps, purrr, quantreg, R6, ragg, rappdirs, rbibutils, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, Rdpack, reformulas, rmarkdown, roxygen2, rprojroot, S7, sass, scales, SparseM, splines, stats, stringi, sys, systemfonts, textshaping, tidyselect, timechange, timeDate, tinytex, tools, tseries, urca, utf8, utils, uuid, vctrs, viridisLite, withr, xfun, xml2, zip, zoo"
"campaign.inputs","(CRANに存在しません)","","aleye, DBI, dplyr, magrittr, readr, rlang, stringr, tibble, tidyr","","askpass, bit, bit64, blob, cachem, cli, clipr, config, cpp11, crayon, curl, digest, fastmap, generics, glue, graphics, grDevices, hms, httr2, janitor, jsonlite, lifecycle, lubridate, memoise, methods, openssl, pillar, pkgconfig, plogr, prettyunits, progress, purrr, R6, rappdirs, remotes, RocheData, RPostgres, snakecase, stats, stringi, sys, tidyselect, timechange, tools, tzdb, utf8, utils, vctrs, vroom, withr, xml2, yaml"
"citril","(CRANに存在しません)","","checkmate, citril.metadata, cli, dplyr, dunlin, fs, ggplot2, glue, grid, gt, gtsummary, jsonlite, lifecycle, methods, purrr, R.utils, rlang, stringr, styler, tibble, utils, yaml","","backports, base64enc, bigD, bitops, bslib, cachem, cards, cardx, commonmark, cpp11, curl, digest, evaluate, farver, fastmap, fontawesome, forcats, generics, graphics, grDevices, gtable, highr, htmltools, htmlwidgets, isoband, jquerylib, juicyjuice, knitr, labeling, litedown, magrittr, markdown, memoise, mime, pillar, pkgconfig, R.cache, R.methodsS3, R.oo, R6, rappdirs, RColorBrewer, Rcpp, reactable, reactR, rmarkdown, rprojroot, S7, sass, scales, stats, stringi, tidyr, tidyselect, tinytex, tools, utf8, V8, vctrs, viridisLite, withr, xfun, xml2"
"citril.metadata","(CRANに存在しません)","","","",""
"RocheData","(CRANに存在しません)","","askpass, cachem, cli, config, DBI, digest, dplyr, glue, httr2, jsonlite, magrittr, memoise, methods, purrr, R6, remotes, rlang, RPostgres, xml2, yaml","","bit, bit64, blob, cpp11, curl, fastmap, generics, graphics, grDevices, hms, lifecycle, lubridate, openssl, pillar, pkgconfig, plogr, rappdirs, stats, sys, tibble, tidyselect, timechange, tools, utf8, utils, vctrs, withr"
"roak","(CRANに存在しません)","","arrow, assertthat, cli, dplyr, DT, haven, httr, jsonlite, lifecycle, lubridate, methods, purrr, R6, readr, readxl, rlang, rmint.sdtm, S7, stringr, styler, tibble, tidyr, xml2, xportr, yaml","","arsenal, askpass, backports, base64enc, bit, bit64, blob, bslib, cachem, cellranger, checkmate, clipr, cpp11, crayon, crosstalk, curl, DBI, diffdf, digest, evaluate, fastmap, fontawesome, forcats, fs, generics, glue, graphics, grDevices, highr, hms, htmltools, htmlwidgets, jquerylib, knitr, later, lazyeval, magrittr, memoise, mime, odbc, openssl, otel, pillar, pins, pkgconfig, prettyunits, progress, promises, R.cache, rappdirs, Rcpp, rematch, rmarkdown, rprojroot, sass, stats, stringi, sys, tidyselect, timechange, tinytex, tools, tzdb, utf8, utils, vctrs, vroom, withr, writexl, xfun"
